,Date,Open,High,Low,Close,Adj Close,Volume,rsi,macd,macd_signal,bb_bbu,bb_bbl,obv
218,2022-08-07,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,225119696,59.46446579259411,2.665774593928867e-07,2.887700750522819e-07,1.2582695718778542e-05,1.1117305028561256e-05,0.0
219,2022-08-08,1.2000000424450263e-05,1.2999999853491317e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,553334119,59.46446579259411,2.547829965841243e-07,2.819726593586504e-07,1.2582695718778542e-05,1.1117305028561256e-05,0.0
220,2022-08-09,1.2000000424450263e-05,1.2999999853491317e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,590838988,59.46446579259411,2.426388106483139e-07,2.741058896165831e-07,1.2582695718778542e-05,1.1117305028561256e-05,0.0
221,2022-08-10,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,418731355,59.46446579259411,2.3035902039478633e-07,2.6535651577222374e-07,1.2582695718778542e-05,1.1117305028561256e-05,0.0
222,2022-08-11,1.2000000424450263e-05,1.2999999853491317e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,496656656,59.46446579259411,2.181129280735021e-07,2.5590779823247944e-07,1.2582695718778542e-05,1.1117305028561256e-05,0.0
223,2022-08-12,1.2000000424450263e-05,1.2999999853491317e-05,1.2000000424450263e-05,1.2999999853491317e-05,1.2999999853491317e-05,331254898,75.66942108482998,2.8580482568659973e-07,2.618872037233035e-07,1.279442760343748e-05,1.1005573086806425e-05,-8601415175.0
224,2022-08-13,1.2999999853491317e-05,1.2999999853491317e-05,1.2999999853491317e-05,1.2999999853491317e-05,1.2999999853491317e-05,350167369,75.66942108482996,3.355827531191549e-07,2.766263136024738e-07,1.297083583934602e-05,1.0929164793801992e-05,0.0
225,2022-08-14,1.2999999853491317e-05,1.8000000636675395e-05,1.2999999853491317e-05,1.700000029813964e-05,1.700000029813964e-05,3873103860,91.47660117223698,6.898465951861731e-07,3.592703699192137e-07,1.4667045011564255e-05,9.83295564280627e-06,-4728311315.0
226,2022-08-15,1.700000029813964e-05,1.700000029813964e-05,1.4999999621068127e-05,1.4999999621068127e-05,1.4999999621068127e-05,2327359499,67.768991519654,7.999980269058732e-07,4.4741590131654566e-07,1.5083788629329235e-05,9.81621197855665e-06,-7055670814.0
227,2022-08-16,1.4999999621068127e-05,1.5999999959603883e-05,1.4999999621068127e-05,1.5999999959603883e-05,1.5999999959603883e-05,1302891507,71.716041510086,9.569543244873127e-07,5.493235859506991e-07,1.5680639277692132e-05,9.719361317562691e-06,-5752779307.0
228,2022-08-17,1.5999999959603883e-05,1.5999999959603883e-05,1.4999999621068127e-05,1.4999999621068127e-05,1.4999999621068127e-05,1047374797,63.360034070939335,9.892482151145763e-07,6.373085117834745e-07,1.5980495048396407e-05,9.719505466520202e-06,-6800154104.0
229,2022-08-18,1.4999999621068127e-05,1.4999999621068127e-05,1.4000000192027073e-05,1.4000000192027073e-05,1.4000000192027073e-05,557409408,56.296122131006896,9.235041796967284e-07,6.945476453661253e-07,1.6093916307101454e-05,9.806084184572837e-06,-7357563512.0
230,2022-08-19,1.4000000192027073e-05,1.4000000192027073e-05,1.2999999853491317e-05,1.2999999853491317e-05,1.2999999853491317e-05,1128117927,50.26149606474915,7.816989504951325e-07,7.119779063919268e-07,1.6111946276507004e-05,9.888054158071393e-06,-8485681439.0
231,2022-08-20,1.2999999853491317e-05,1.4000000192027073e-05,1.2999999853491317e-05,1.2999999853491317e-05,1.2999999853491317e-05,745673615,50.26149606474915,6.616897372973021e-07,7.01920272573002e-07,1.6126224456109967e-05,9.973775921372534e-06,0.0
232,2022-08-21,1.2999999853491317e-05,1.4000000192027073e-05,1.2999999853491317e-05,1.2999999853491317e-05,1.2999999853491317e-05,432719644,50.26149606474915,5.601248011759105e-07,6.735611782935837e-07,1.6136618444284437e-05,1.006338187610217e-05,0.0
233,2022-08-22,1.2999999853491317e-05,1.2999999853491317e-05,1.2999999853491317e-05,1.2999999853491317e-05,1.2999999853491317e-05,447215233,50.26149606474915,4.741679446571072e-07,6.336825315662884e-07,1.6142974046644685e-05,1.015702621664603e-05,0.0
234,2022-08-23,1.2999999853491317e-05,1.2999999853491317e-05,1.2999999853491317e-05,1.2999999853491317e-05,1.2999999853491317e-05,401297299,50.26149606474915,4.0141920584995117e-07,5.872298664230211e-07,1.6145111731018774e-05,1.0254888475176044e-05,0.0
235,2022-08-24,1.2999999853491317e-05,1.2999999853491317e-05,1.2999999853491317e-05,1.2999999853491317e-05,1.2999999853491317e-05,397540278,50.26149606474915,3.398477528716673e-07,5.377534437127503e-07,1.6142822146234876e-05,1.0357178002864048e-05,0.0
236,2022-08-25,1.2999999853491317e-05,1.4999999621068127e-05,1.2999999853491317e-05,1.4000000192027073e-05,1.4000000192027073e-05,959400151,57.38709151146936,3.675072075352476e-07,5.037041964772498e-07,1.619882230914263e-05,1.0501177816713975e-05,-7526281288.0
237,2022-08-26,1.4000000192027073e-05,1.4000000192027073e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,819192697,43.855068708859484,2.254454647536672e-07,4.4805245013253327e-07,1.619882230914263e-05,1.0501177816713975e-05,-8345473985.0
238,2022-08-27,1.2000000424450263e-05,1.2999999853491317e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,437249950,43.855068708859484,1.1157435045027789e-07,3.807568301960822e-07,1.619882230914263e-05,1.0501177816713975e-05,0.0
239,2022-08-28,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,328030702,43.855068708859484,2.1087587395383618e-08,3.0882298163594254e-07,1.619882230914263e-05,1.0501177816713975e-05,0.0
240,2022-08-29,1.2000000424450263e-05,1.2999999853491317e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,393463237,43.85506870885949,-5.004691456226479e-08,2.3704900239630107e-07,1.619882230914263e-05,1.0501177816713975e-05,0.0
241,2022-08-30,1.2000000424450263e-05,1.2999999853491317e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,378833439,43.85506870885949,-1.0520873900079526e-07,1.685974541168818e-07,1.619882230914263e-05,1.0501177816713975e-05,0.0
